timestamp,tx,ty,tz
0.00, 0.01448, -0.01754, -0.00298
0.10, 0.06467, -0.04030, -0.04584
0.20, 0.16007, -0.09134, -0.07082
0.30, 0.18652, -0.12409, -0.07345
0.40, 0.26318, -0.17794, -0.10860
0.50, 0.34727, -0.22999, -0.16385
0.60, 0.41192, -0.27538, -0.17952
0.70, 0.47118, -0.31857, -0.20900
0.80, 0.53765, -0.39092, -0.23349
0.90, 0.63187, -0.41192, -0.26476
1.00, 0.70211, -0.45026, -0.28034
1.10, 0.74548, -0.50148, -0.32287
1.20, 0.82996, -0.54382, -0.36688
1.30, 0.89502, -0.60069, -0.38251
1.40, 0.95562, -0.62638, -0.42408
1.50, 1.00666, -0.69969, -0.44905
1.60, 1.08307, -0.72813, -0.44808
1.70, 1.17524, -0.77007, -0.49340
1.80, 1.24139, -0.83939, -0.50365
1.90, 1.28779, -0.87260, -0.54013
2.00, 1.37022, -0.93933, -0.58310
2.10, 1.41919, -0.97820, -0.61540
2.20, 1.50702, -1.01637, -0.63670
2.30, 1.55699, -1.04210, -0.66750
2.40, 1.64077, -1.10526, -0.68971
2.50, 1.68480, -1.14532, -0.73170
2.60, 1.77023, -1.18510, -0.77169
2.70, 1.84016, -1.23284, -0.78997
2.80, 1.91482, -1.27214, -0.80210
2.90, 1.97137, -1.34242, -0.84295
3.00, 2.06215, -1.38591, -0.87431
3.10, 2.12223, -1.42098, -0.91067
3.20, 2.18459, -1.47970, -0.93106
3.30, 2.27323, -1.53189, -0.95122
3.40, 2.33433, -1.55871, -0.98884
3.50, 2.35976, -1.62098, -0.99933
3.60, 2.47032, -1.64432, -1.04768
3.70, 2.52571, -1.68719, -1.10232
3.80, 2.58889, -1.73670, -1.09704
3.90, 2.66221, -1.77533, -1.15932
4.00, 2.73235, -1.82756, -1.16741
4.10, 2.79868, -1.88701, -1.20220
4.20, 2.85445, -1.91238, -1.24027
4.30, 2.92105, -1.96142, -1.24789
4.40, 2.99553, -2.02056, -1.28933
4.50, 3.08061, -2.06837, -1.32432
4.60, 3.12508, -2.11051, -1.33340
4.70, 3.21399, -2.15185, -1.36120
4.80, 3.28599, -2.18561, -1.39248
4.90, 3.33753, -2.24058, -1.42175
5.00, 3.40240, -2.28514, -1.46157
5.10, 3.49446, -2.32728, -1.48949
5.20, 3.56387, -2.38987, -1.53169
5.30, 3.62092, -2.42627, -1.55956
5.40, 3.68642, -2.47828, -1.60034
5.50, 3.74172, -2.53214, -1.61607
5.60, 3.83102, -2.56939, -1.62770
5.70, 3.89174, -2.62332, -1.66554
5.80, 3.94447, -2.64775, -1.70067
5.90, 4.03167, -2.71098, -1.72932
6.00, 4.10012, -2.73207, -1.74085
6.10, 4.15125, -2.80783, -1.78096
6.20, 4.23037, -2.85180, -1.82912
6.30, 4.31654, -2.89741, -1.84203
6.40, 4.36777, -2.93510, -1.86600
6.50, 4.42092, -2.96776, -1.90406
6.60, 4.50161, -3.02566, -1.91712
6.70, 4.57657, -3.04320, -1.94832
6.80, 4.64690, -3.10734, -1.98722
6.90, 4.70150, -3.16438, -2.00083
7.00, 4.78149, -3.22227, -2.03998
7.10, 4.87392, -3.26290, -2.07546
7.20, 4.91300, -3.30252, -2.11235
7.30, 4.99505, -3.34529, -2.12332
7.40, 5.03681, -3.41054, -2.15697
7.50, 5.11042, -3.44595, -2.20613
7.60, 5.18050, -3.50338, -2.22258
7.70, 5.25505, -3.53102, -2.24495
7.80, 5.30793, -3.58553, -2.28065
7.90, 5.38265, -3.63256, -2.31037
8.00, 5.46306, -3.66817, -2.35318
8.10, 5.53463, -3.71928, -2.37332
8.20, 5.61839, -3.75536, -2.40344
8.30, 5.66651, -3.78889, -2.43598
8.40, 5.71535, -3.86819, -2.45094
8.50, 5.80185, -3.88824, -2.47083
8.60, 5.87023, -3.94451, -2.51072
8.70, 5.92248, -4.00051, -2.54011
8.80, 5.98700, -4.05290, -2.58182
8.90, 6.05663, -4.06824, -2.60675
9.00, 6.13167, -4.13691, -2.62590
9.10, 6.20360, -4.16062, -2.64065
9.20, 6.26583, -4.21345, -2.67700
9.30, 6.33721, -4.27702, -2.71319
9.40, 6.40573, -4.31797, -2.74332
9.50, 6.45969, -4.36496, -2.79178
9.60, 6.55858, -4.41718, -2.80711
9.70, 6.61790, -4.44318, -2.83249
9.80, 6.69096, -4.49568, -2.86597
9.90, 6.77823, -4.56317, -2.91110
